0	The hard-core fans came out for Reloaded and then moved on, says John Shaw of the box office tracking firm Movieline International. The casting was a big key, says John Shaw of box office firm Movieline International.
0	"From Broadway comedies like ""The Seven Year Itch"" (1952), ""Will Success Spoil Rock Hunter?"" Playwright George Axelrod, who anticipated the sexual revolution with The Seven Year Itch and Will Success Spoil Rock Hunter?"
1	Pollack said the plaintiffs failed to show that Merrill and Blodget directly caused their losses. Basically, the plaintiffs did not show that omissions in Merrill's research caused the claimed losses.
0	Prosecutors did an about-face in May and asked that the autopsy reports be unsealed after portions of Conner Peterson's autopsy report favorable to the defense were leaked to the media. They asked that the autopsy reports be unsealed after portions of the autopsy report on Peterson's unborn son that were favorable to the defense were leaked to the media.
1	In the latest top-level shuffle at CNN, Teya Ryan is leaving her post as general manager of U.S. programming, the network announced. In CNN's latest move to rejuvenate ratings, the network has ousted Teya Ryan, general manager of U.S. programming.
1	For us that doesn't make a difference, the sexual orientation, Tutu told television reporters in Soweto. For us, that doesn't make a difference - the sexual orientation, Archbishop Tutu said in the black urban centre of Soweto.
1	Judge Leroy Millette Jr. can reduce the punishment to life in prison without parole when Muhammad is formally sentenced Feb. 12, but Virginia judges rarely take such action. Though the judge can reduce the punishment to life in prison without parole, experts say Virginia judges rarely take that opportunity.
0	With diplomacy heating up in the nearly 10-month-old nuclear crisis, Chinese Foreign Minister Li Zhaoxing is slated to visit South Korea from August 13 to 15. With diplomacy heating up in the nearly 10-month-old crisis, Chinese Foreign Minister Li Zhaoxing flies to Japan on Sunday en route to South Korea on August 13.
0	So far, they have searched Pennsylvania, Ohio, Michigan, Illinois and Indiana, authorities in those state said. So far, authorities also have searched areas in Pennsylvania, Ohio, Indiana, and Michigan.
0	Besides battling its sales slump, Siebel also has been sparring with some investors upset about huge stock option windfalls company managers have pocketed. Besides a sales slump, Siebel is sparring with some shareholders over management stock option windfalls.
1	"Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, became a born-again Christian in June 2002. Dennehy, who transferred to Baylor last year after getting kicked off the team at New Mexico for temper tantrums, became a born-again Christian in June 2002."""
0	"Pascal Lamy, the EU’s Trade Commissioner, insisted: “The EU’s regulatory system for GM goods authorisation is in line with WTO rules. The EU regulatory system for GM authorisation is in line with WTO rules: it is clear, transparent and non-discriminatory.
1	1917209	1917198	Customers include Mitsubishi, Siemens, DBTel, Dell, HP, Palm, Philips, Sharp, and Sony.	MediaQ's customers include major handheld makers Mitsubishi, Siemens, Palm, Sharp, Philips, Dell and Sony.
1	356719	356779	Mr Sahel said police had identified the bodies of seven of the 14-strong cell believed to have carried out the five almost simultaneous attacks on Saturday.He said police had identified the bodies of seven of the 14 bombers who launched five almost simultaneous raids Friday night.
1	1097469	1097432	Boeing said the final agreement is expected to be signed during the next few weeks.	The Korean Air deal is expected to be finalized in the next several weeks,"" Boeing spokesman Bob Saling said."
0	A cost analysis is under way, said Michael Rebell, CFE's executive director. We're not looking for a Robin Hood remedy, said Michael Rebell, the campaign's executive director.
0	Bond bulls would like the Fed to recognize that risks are biased toward economic weakness. The Fed also said the risks to the economy were biased toward weakness.
0	In recent years, Hampton kept in touch with friends and stayed in trouble: He faced charges of fare-beating and credit card theft. In recent years, Mr. Hampton continued to run into trouble, facing charges of fare-beating and credit-card theft.
1	Five-year notes US5YT=RR rose 6/32 in price for a yield of 3.08 percent, down from 3.12 percent late on Tuesday. Five-year notes US5YT=RR added 2/32 to give a yield of 3.10 percent from 3.12 percent.
0	The women said those rape victims who did come forward were routinely punished for minor infractions while their assailants escaped judgement, prompting most victims to remain silent. The women said victims of rape who came forward routinely were punished for minor infractions while their assailants escaped judgment.
1	At least 154 people, most of them opposition activists or officials, were arrested across the country Monday, police spokesman Wayne Bvudzijena said in a statement. Police spokesman Wayne Bvudzijena said in a statement that at least 154 people, most of them opposition activists or officials, were arrested across the country Monday.
1	Lesser rewards of $15 million each were offered for the same information about his sons, Uday and Qusay. Similar rewards were offered for his two sons and lieutenants, Uday and Qusay.
1	The steps that the Iranians claim to have taken in terms of capturing al-Qaida are insufficient, said Ari Fleischer, the White House press secretary. The steps that the Iranians claim to have taken in terms of capturing al-Qaeda are insufficient, Fleischer said.
1	"They drive around in their cars, while people are being killed 500 metres away, he said on Sunday. What they are doing right now is they drive around in their cars, while people are being killed 500 metres away.
1	3365018	3364781	This case was both mentally challenging and emotionally exhausting,"" said the foreman, Jim Wolfcale, a 41-year-old minister. Jim Wolfcale, the jury foreman and a minister, said, ""This case was both mentally challenging and emotionally exhausting."""
0	United hasn't set a starting date for the unit, known within the Chicago-based company as Starfish. Starfish is United's second attempt at a low-cost unit within the larger company.
1	Vial estimated that 250 to 500 vehicles were stranded overnight after the pass through the Siskiyou Mountains was closed Sunday night. John Vial, district manager for the Oregon Department of Transportation, estimated that 250 to 500 vehicles were stranded overnight after the Siskiyou Pass was closed Sunday night.
1	They said they only wanted to entertain people and win the best float prize and were fired for exercising their free-speech rights. They said they only wanted to be entertaining and win the a prize and were fired for exercising free-speech rights.
1	"This is one of the most important solutions for portable gaming, Nintendo R&D general manager Satoru Okada said in a statement. This is one of the most important solutions for portable gaming,"" said Satoru Okada, general manager of Nintendo's research and engineering department."
1	It is wasting both water and money, Ortega said Tuesday. It's a waste of water and money, said Adan Ortega, a Metropolitan vice president.
1	The United States says 1,882 Americans remain listed as missing in action and unaccounted for from the Vietnam War. America says 1,882 of its service personnel are listed as missing in action and unaccounted for.
1	"Intel spokesman Dan Francisco said the chip maker is looking into the issue, but declined to elaborate. Intel spokesman Daniel Francisco said the company ""is looking into the problem"" identified by Nortel, but he declined to provide any details."
1	Feith said people have misconstrued the purpose of the small intelligence review team he assembled in October 2001. Feith said critics have misrepresented the work of the special intelligence group he set up in October 2001.
1	Also in the majority were Chief Justice William H. Rehnquist and Justices John Paul Stevens, Sandra Day O'Connor, Ruth Bader Ginsburg and Stephen G. Breyer. Chief Justice William H. Rehnquist and Justices John Paul Stevens, Sandra Day OConnor, Ruth Bader Ginsburg and Stephen Breyer agreed with Souter.
1	Netanyahu and his advisers say the changes are necessary to permit Israel to compete successfully in the global marketplace and attract investment. The government says the changes are necessary if Israel is to compete successfully in the global marketplace and attract investment.
0	Treasuries were dragged lower on Friday as shorter-dated debt was roiled by conflicting reports on the likelihood of an aggressive easing in U.S. interest rates. Treasury prices slouched lower on Friday as conflicting messages on the prospects of an aggressive cut in U.S. interest rates left some investors nursing losses and a grudge.
0	The technology-laced Nasdaq Composite Index .IXIC was up 14.35 points, or 0.89 percent, at 1,617.91. The Standard & Poor's 500 Index .SPX gained 13.68 points, or 1.42 percent, at 977.27.
0	What can I say to you? he told a crowd at a cemetery with a thousand headstones, many of them marking the graves of entire families. Mr. Powell told a crowd at a cemetery with a thousand headstones, many of them marking the graves of entire families.
1	But the Quartet is divided three-to-one, the United States against the rest, on the question of whether they should treat Arafat as the representative of the Palestinian people. But quartet members are divided 3-1, the United States against the rest, on whether they should treat Arafat as the representative of the Palestinian people.
1	Kaichen's former landlord, Carol Halperin of Chappaqua, said Kaichen told her she volunteered at Ground Zero after the attack. Kaichen's former landlord, Carol Halperin of Chappaqua, said Kaichen claimed to have volunteered at Ground Zero in the aftermath of the attack.
1	The American women, who are defending champions, will play in Philadelphia on Sept. 25 and conclude group competition in Columbus on Sept. 28. The U.S. women, who are defending champions, will play on Sept. 25 in Philadelphia and conclude group competition on Sept. 28 in Columbus, Ohio.
0	"VeriSign introduced its Site Finder service on Sept. 15. The battle around VeriSign""s three-week-old Site Finder service rages on."
1	When the bomb exploded at the Casa de España, customers were eating dinner and playing bingo. At the Casa de Espaa, customers were eating dinner and playing bingo when a bomb went off.
1	"I'm never going to forget this day. I am never going to forget this throughout my life."""
